,index,Date.time,Power.me,Mean,Upper,Lower,Squared Error,Absolute Error,Turbine
356,176399,2021-03-07 19:20:00,340.02522888183614,222.95382311347663,540.909392879463,-66.76359884997638,13705.71404857988,117.07140576835953,1
357,176414,2021-03-07 21:50:00,284.5723747253418,353.8827922350765,691.8818373904148,38.20588121258966,4803.933975373745,69.31041750973475,1
358,176420,2021-03-07 22:50:00,225.7962158203125,206.2081984906481,525.511402010918,-115.63484549965486,383.69042290723326,19.58801732966441,1
359,176551,2021-03-08 20:40:00,834.4768920898438,955.225846637014,1204.3909618250525,644.8675017257647,14580.310024234584,120.74895454717024,1
360,176592,2021-03-09 03:30:00,507.93781127929697,604.2318302834433,871.9561522460807,296.78413627919844,9272.538095970893,96.29401900414632,1
361,176608,2021-03-09 06:10:00,1085.9531280517583,985.738303462652,1296.2408325197798,670.9345291486432,10043.01106742533,100.21482458910624,1
362,176655,2021-03-09 14:00:00,314.1851543426514,244.5948257164514,512.0108126296358,-106.0505972904902,4842.813838302512,69.5903286262,1
363,176731,2021-03-10 02:40:00,1817.2931457519555,1845.454420183528,2114.4487533357646,1591.7060420735766,793.0573776103299,28.161274431572338,1
364,176756,2021-03-10 06:50:00,1991.1647583007828,1916.6574696586656,2196.370544093741,1594.8876321822702,5551.336060799725,74.50728864211692,1
365,176779,2021-03-10 10:40:00,2009.554083251956,2016.8593669729153,2334.022210172289,1685.2983022648514,53.367170243713296,7.3052837209593235,1
366,176796,2021-03-10 13:30:00,2055.211187744143,2012.66894260284,2337.490389366316,1713.004942202133,1809.842621662704,42.54224514130283,1
367,176797,2021-03-10 13:40:00,2041.2165599149823,1984.5429200904,2301.8522404542423,1676.6051618306665,3211.901450966458,56.6736398245821,1
368,176819,2021-03-10 17:20:00,2048.117358398439,2023.8737888801493,2338.07968768141,1679.8788275887352,587.7506629881532,24.24356951828986,1
369,176854,2021-03-10 23:10:00,2039.1678344726583,2015.2720595047217,2357.672123840704,1666.864868651031,571.0080613182778,23.89577496793686,1
370,176940,2021-03-11 13:30:00,2024.2272949218768,1885.83877009252,2184.0663944193157,1560.840427819532,19151.383804445508,138.3885248293568,1
371,176953,2021-03-11 15:40:00,1594.0312286376966,1727.7522575474086,2026.203204302481,1475.4812599105287,17881.313572672032,133.721028909712,1
372,176961,2021-03-11 17:00:00,2006.825024414064,1955.008548997836,2270.118730734672,1644.4660074792523,2684.9471245605905,51.816475416228286,1
373,176968,2021-03-11 18:10:00,2053.142169189456,1805.16371928178,2113.2649423161165,1509.756216019069,61493.31161861384,247.97844990767612,1
374,177008,2021-03-12 00:50:00,2022.5765502929696,1995.033214574624,2283.5227999523568,1710.348516529978,758.6353424935044,27.543335718345816,1
375,177009,2021-03-12 01:00:00,2001.0282043457064,2003.2803410530544,2323.552228049524,1681.6065599672895,5.072119748584166,2.2521367073479723,1
376,177013,2021-03-12 01:40:00,1949.2557128906271,1941.4864767863396,2291.282689176829,1669.155007201235,60.36102964416486,7.769236104287529,1
377,177026,2021-03-12 03:50:00,1049.4466186523446,989.5518258157816,1302.101768706034,722.7834570770603,3587.3862089348054,59.894792836563056,1
378,177070,2021-03-12 11:10:00,2070.156555175784,1986.1547639867408,2298.7344848058974,1678.8828968317423,7056.300922967609,84.00179118904316,1
379,177080,2021-03-12 12:50:00,1916.6867370605487,1832.4895677433396,2124.95060568523,1538.972019406769,7089.163321030768,84.19716931720905,1
